CANDIDATOS;REELEICAO;DESPESAS;N_VOTOS ;VALOR_VOTO ;;
 AGOSTINHO CELIO ANDRADE PATRUS;REELEITO;872334.75;70055.00;12.45;;
 ALBERTO PINTO COELHO NETO;ELEITO;808126.45;28104.00;28.75;;
 ALENCAR MAGALHÇES DA SILVEIRA JUNIOR;REELEITO;778000.00;54373.00;14.31;;
 ANA PAULA SIQUEIRA;ELEITO;616504.04;23372.00;26.38;;
 ANDR QUINTÇO SILVA;REELEITO;528173.58;71615.00;7.38;;
 ANDREIA DE JESUS SILVA;ELEITO;8037.74;17689.00;0.45;;
 ANTâNIO CARLOS ARANTES;REELEITO;693209.75;69586.00;9.96;;
 ARLEN DE PAULO SANTIAGO FILHO;REELEITO;824847.64;82130.00;10.04;;
 BEATRIZ DA SILVA CERQUEIRA;ELEITO;140849.79;96824.00;1.45;;
 BERNARDO BARTOLOMEO MOREIRA;ELEITO;64644.43;31991.00;2.02;;
 BRAULIO JOS TANUS BRAZ;REELEITO;946598.44;51657.00;18.32;;
 BRUNO DE CASTRO ENGLER FLORENCIO DE ALMEIDA;ELEITO;4097.40;120252.00;0.03;;
 CARLOS HENRIQUE ALVES DA SILVA;REELEITO;219901.86;79088.00;2.78;;
 CARLOS HENRIQUE COELHO DE CAMPOS;ELEITO;14190.35;27867.00;0.51;;
 CARLOS WELTH PIMENTA DE FIGUEIREDO;REELEITO;775101.38;43492.00;17.82;;
 CASSIO ANTâNIO FERREIRA SOARES;REELEITO;780359.60;113003.00;6.91;;
CELISE BARREIROS LAVIOLA CABRAL DE LIRA;REELEITO;299804.41;57412.00;5.22;;
CHARLES DOS SANTOS;ELEITO;100004.30;67913.00;1.47;;
 CLEITON DE OLIVEIRA;ELEITO;138712.11;31347.00;4.43;;
 CLEITON GONTIJO DE AZEVEDO;ELEITO;24952.44;115492.00;0.22;;
 CRISTIANO TADEU DA SILVEIRA;REELEITO;257132.90;79079.00;3.25;;
 DALMO ROBERTO RIBEIRO SILVA;REELEITO;514118.91;69342.00;7.41;;
 DOORGAL GUSTAVO SAD LAFAYETTE DE ANDRADA;REELEITO;558644.17;57942.00;9.64;;
 ELISMAR FERNANDES PRADO;REELEITO;128314.40;53842.00;2.38;;
 FABIO JOSE DE OLIVEIRA;REELEITO;271278.71;83718.00;3.24;;
 FERNANDO PACHECO FIALHO;ELEITO;29736.57;25091.00;1.19;;
 GILBERTO WAGNER MARTINS PEREIRA ANTUNES;REELEITO;720483.02;52146.00;13.82;;
 GLYCON MOREIRA FRANCO;REELEITO;552671.67;60373.00;9.15;;
 GUILHERME DA CUNHA ANDRADE;ELEITO;67843.70;24792.00;2.74;;
 GUSTAVO DA CUNHA PEREIRA VALADARES;REELEITO;431082.39;60687.00;7.10;;
 GUSTAVO DE VASCONCELLOS MOREIRA;REELEITO;832057.11;36573.00;22.75;;
 GUSTAVO MARQUES CARVALHO MITRE;ELEITO;103538.73;21373.00;4.84;;
 HELI GERALDO DE ANDRADE;ELEITO;401600.00;75920.00;5.29;;
 HELY TARQUINIO;REELEITO;459915.78;64913.00;7.09;;
 INµCIO FRANCO;REELEITO;545594.66;42819.00;12.74;;
 IONE MARIA PINHEIRO;REELEITO;564992.26;55634.00;10.16;;
 IRINEU INACIO DA SILVA;ELEITO;218415.45;21845.00;10.00;;
 JEAN MARK FREIRE SILVA;REELEITO;379176.53;83024.00;4.57;;
 JEFERSON DOUGLAS SOARES ESTANISLAU;REELEITO;706365.58;49027.00;14.41;;
 JOÇO BOSCO;REELEITO;702000.00;42556.00;16.50;;
 JOÇO LEITE DA SILVA NETO;REELEITO;163522.36;56298.00;2.90;;
 JOÇO LéCIO MAGALHÇES BIFANO;REELEITO;589051.15;67874.00;8.68;;
 JOÇO VÖTOR XAVIER FAUSTINO;REELEITO;646548.66;75256.00;8.59;;
 JOS CLIO DE ALVARENGA;REELEITO;273796.58;35840.00;7.64;;
 JOSE GUILHERME FERREIRA FILHO;ELEITO;249612.21;19341.00;12.91;;
 JOS REIS NOGUEIRA DE BARROS;ELEITO;361595.70;45746.00;7.90;;
 LAURA MENDES SERRANO;ELEITO;21005.95;33813.00;0.62;;
 LEANDRO ANDRADE GENARO OLIVEIRA;REELEITO;149850.00;98717.00;1.52;;
 LEONARDO MORREALE DINIZ PORTELA;REELEITO;823354.73;93895.00;8.77;;
 LEONÖDIO HENRIQUE CORRÒA BOU€AS;REELEITO;873964.77;52624.00;16.61;;
 LUIZ HUMBERTO CARNEIRO;ELEITO;391495.82;50341.00;7.78;;
 LUIZ SµVIO DE SOUZA CRUZ;REELEITO;638347.11;74822.00;8.53;;
 LUIZ TADEU MARTINS LEITE;REELEITO;738148.07;72267.00;10.21;;
 MARCOS JOSERALDO LEMOS;ELEITO;71764.62;41852.00;1.71;;
 MµRIO HENRIQUE DA SILVA;REELEITO;362969.54;76527.00;4.74;;
 MARILENE ALVES DE SOUZA;ELEITO;71417.63;51407.00;1.39;;
 MARILIA APARECIDA CAMPOS;ELEITO;336639.26;71329.00;4.72;;
 MAURO HENRIQUE TRAMONTE;REELEITO;443309.26;516390.00;0.86;;
 NACIB DUARTE BECHIR;REELEITO;718900.00;56745.00;12.67;;
 NEILANDO ALVES PIMENTA;REELEITO;480000.00;60637.00;7.92;;
 NORALDINO LUCIO DIAS JUNIOR;REELEITO;747217.79;114807.00;6.51;;
 OSVALDO LOPES DE OLIVEIRA JUNIOR;ELEITO;52316.00;31161.00;1.68;;
 PAULO VALDIR FERREIRA;ELEITO;102600.00;48927.00;2.10;;
 RAFAEL MARTINS DE SOUZA;ELEITO;126848.20;27463.00;4.62;;
 RAUL JOSE DE BELEM;ELEITO;205889.77;31788.00;6.48;;
 ROBERTO CUPOLILLO;ELEITO;80231.03;35455.00;2.26;;
 ROBERTO DIAS DE ANDRADE;REELEITO;825867.41;41903.00;19.71;;
 ROS¶NGELA DE OLIVEIRA CAMPOS REIS;REELEITO;542464.39;70040.00;7.75;;
 SANDRO LéCIO FONSECA;ELEITO;97749.70;48533.00;2.01;;
 SHEILA APARECIDA PEDROSA DE MELLO OLIVEIRA;ELEITO;152592.01;80038.00;1.91;;
 THIAGO FELLIPE MOTTA COTA;REELEITO;290437.09;55870.00;5.20;;
 TITO BRUNO MIRANDA TORRES DUARTE;REELEITO;696010.09;78862.00;8.83;;
 ULYSSES GOMES DE OLIVEIRA NETO;REELEITO;151702.60;63776.00;2.38;;
 VIRGILIO GUIMARÇES DE PAULA;ELEITO;695494.53;91204.00;7.63;;
 WASHINGTON FERNANDO RODRIGUES;REELEITO;561313.12;123648.00;4.54;;
  WENDEL CRISTIANO SOARES DE MESQUITA;ELEITO;200845.30;31722.00;6.33;;
 WILSON ROBERTO BATISTA;REELEITO;565942.09;62052.00;9.12;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
